,id,title,type,age_certification,runtime,release_year,seasons,imdb_score,imdb_votes
6381,tm37117,The Bank Job,MOVIE,R,112,2008,0.0,7.2,180171.0
6383,ts24087,Horrible Histories,SHOW,TV-G,28,2009,9.0,8.8,4965.0
6401,tm71281,Death at a Funeral,MOVIE,R,90,2007,0.0,7.3,115050.0
6424,tm90927,The Wolfman,MOVIE,R,102,2010,0.0,5.8,106132.0
6486,tm93556,All Good Things,MOVIE,R,101,2010,0.0,6.3,55797.0
6543,tm148379,The Cat in the Hat,MOVIE,PG,81,2003,0.0,4.0,81971.0
6642,tm94422,Resident Evil: Apocalypse,MOVIE,R,94,2004,0.0,6.1,196625.0
6686,tm35802,Notes on a Scandal,MOVIE,R,92,2006,0.0,7.4,78084.0
6767,tm96208,Resident Evil: Afterlife,MOVIE,R,97,2010,0.0,5.8,169756.0
6795,tm53456,Ghosts of Mars,MOVIE,R,98,2001,0.0,4.9,54311.0
6892,tm171198,Land of the Dead,MOVIE,R,93,2005,0.0,6.2,95996.0
6908,tm146871,Ong Bak: Muay Thai Warrior,MOVIE,R,105,2003,0.0,7.1,74194.0
6946,tm98366,The Runaways,MOVIE,R,105,2010,0.0,6.5,48703.0
6966,tm102403,The Karate Kid,MOVIE,PG,140,2010,0.0,6.2,178653.0
6995,tm150554,The Young Victoria,MOVIE,PG,105,2009,0.0,7.2,61411.0
7010,ts3805,Afro Samurai,SHOW,TV-MA,25,2007,1.0,7.6,16393.0
7068,tm160314,Stay,MOVIE,R,99,2005,0.0,6.7,78889.0
7153,tm177068,Fun with Dick and Jane,MOVIE,PG-13,90,2005,0.0,6.1,143998.0
7181,tm69069,Evan Almighty,MOVIE,PG,96,2007,0.0,5.4,146215.0
7243,tm79664,Resident Evil: Extinction,MOVIE,R,94,2007,0.0,6.2,193103.0
7257,tm79354,Saving Face,MOVIE,R,97,2004,0.0,5.6,17.0
7336,tm78713,The Polar Express,MOVIE,G,99,2004,0.0,6.6,201620.0
7385,tm89515,Scooby-Doo 2: Monsters Unleashed,MOVIE,PG,93,2004,0.0,5.1,56070.0
7443,tm170505,The Dukes of Hazzard,MOVIE,PG-13,104,2005,0.0,5.1,78453.0
7461,tm185635,The Legend of Zorro,MOVIE,PG,131,2005,0.0,5.9,100856.0
7485,ts19528,Ergo Proxy,SHOW,TV-MA,27,2006,1.0,7.9,13942.0
7539,tm38852,Horton Hears a Who!,MOVIE,G,86,2008,0.0,6.8,138363.0
7553,tm42562,Cocaine Cowboys,MOVIE,R,118,2006,0.0,7.8,13329.0
7625,tm95186,The Bounty Hunter,MOVIE,PG-13,110,2010,0.0,5.5,126614.0
7645,ts34370,Higurashi: When They Cry,SHOW,TV-MA,14,2006,3.0,5.3,26.0
7688,tm129245,Gigli,MOVIE,R,117,2003,0.0,2.6,48767.0
7705,ts21688,Boys Over Flowers,SHOW,TV-14,64,2009,1.0,7.9,11579.0
7782,tm145000,I Love You Phillip Morris,MOVIE,R,98,2009,0.0,6.6,95235.0
7799,ts21676,Hellsing,SHOW,TV-MA,23,2001,1.0,7.8,16069.0
7826,tm152842,Dorian Gray,MOVIE,R,112,2009,0.0,6.2,64111.0
7869,tm93715,Cyrus,MOVIE,R,91,2010,0.0,6.3,35164.0
7959,tm93752,Green Zone,MOVIE,R,115,2010,0.0,6.8,136429.0
7977,tm48061,The Tailor of Panama,MOVIE,R,109,2001,0.0,6.1,29384.0
8001,tm78780,I Know Who Killed Me,MOVIE,R,105,2007,0.0,3.6,29557.0
8078,tm132766,Bringing Down the House,MOVIE,PG-13,105,2003,0.0,5.6,36946.0
8121,tm152562,The International,MOVIE,R,118,2009,0.0,6.5,95160.0
8147,tm47449,A Raisin in the Sun,MOVIE,PG-13,131,2008,0.0,6.6,1983.0
8157,tm143803,Serious Moonlight,MOVIE,R,84,2009,0.0,5.3,8369.0
8206,tm22870,Just My Luck,MOVIE,PG-13,103,2006,0.0,5.4,56713.0
8231,tm85440,District B13,MOVIE,R,84,2004,0.0,7.1,69692.0
8244,tm134322,Radio,MOVIE,PG,109,2003,0.0,6.9,40378.0
8286,tm103078,Ramona and Beezus,MOVIE,G,103,2010,0.0,6.5,18519.0
8328,tm31400,My Super Ex-Girlfriend,MOVIE,PG-13,95,2006,0.0,5.2,64130.0
8339,ts27099,Guyver: The Bioboosted Armor,SHOW,,24,2005,1.0,7.8,750.0
8390,tm56288,Kissing Jessica Stein,MOVIE,R,97,2002,0.0,6.6,16668.0
