,id,Netflix,Hulu,HBO,title,type,age_certification,runtime,name,role,release_year,seasons,imdb_score,imdb_votes
2260,ts215046,1.0,0.0,0.0,Capitani,SHOW,TV-MA,29,Christophe Wagner,DIRECTOR,2019,2.0,6.6,4912.0
2261,ts81120,1.0,0.0,0.0,The Last Dance,SHOW,TV-MA,50,Jason Hehir,DIRECTOR,2020,1.0,9.1,115915.0
2294,ts223210,1.0,0.0,0.0,Don't F**k with Cats: Hunting an Internet Killer,SHOW,TV-MA,62,Mark Lewis,DIRECTOR,2019,1.0,8.0,51559.0
2297,ts107724,1.0,0.0,0.0,The Defeated,SHOW,TV-MA,55,Måns Mårlind,DIRECTOR,2020,1.0,7.0,5902.0
2304,ts218802,1.0,0.0,0.0,The Family,SHOW,TV-14,50,Jesse Moss,DIRECTOR,2019,1.0,6.4,3491.0
2306,ts225651,1.0,0.0,0.0,Feel Good,SHOW,TV-MA,25,Luke Snellin,DIRECTOR,2020,2.0,7.5,10690.0
2313,ts304505,1.0,0.0,0.0,Love Is Blind,SHOW,TV-MA,54,Brian Smith,DIRECTOR,2020,5.0,6.1,7863.0
2314,ts91039,1.0,0.0,0.0,The Chef Show,SHOW,TV-MA,31,Jon Favreau,DIRECTOR,2019,2.0,8.2,5107.0
2323,ts242210,1.0,0.0,0.0,The Cursed,SHOW,TV-MA,62,Kim Yong-wan,DIRECTOR,2020,1.0,7.1,466.0
2324,ts116814,1.0,0.0,0.0,The Twelve,SHOW,TV-MA,48,Wouter Bouvijn,DIRECTOR,2019,1.0,7.4,5174.0
2340,ts237560,1.0,0.0,0.0,Jeffrey Epstein: Filthy Rich,SHOW,TV-MA,57,Lisa Bryant,DIRECTOR,2020,1.0,7.1,23816.0
2341,ts269397,1.0,0.0,0.0,Bogdan Boner: Egzorcysta,SHOW,TV-MA,12,Bartosz Walaszek,DIRECTOR,2020,2.0,7.3,105.0
2346,ts103133,1.0,0.0,0.0,I Am Not Okay with This,SHOW,TV-MA,21,Jonathan Entwistle,DIRECTOR,2020,1.0,7.5,58674.0
2350,ts89014,1.0,0.0,0.0,DC Super Hero Girls,SHOW,TV-PG,10,Noëlle Raffaele,DIRECTOR,2019,2.0,7.1,1282.0
2355,ts215683,1.0,0.0,0.0,The Untamed,SHOW,TV-14,44,Ka-Lam Chan,DIRECTOR,2019,1.0,8.8,6181.0
2356,ts215683,1.0,0.0,0.0,The Untamed,SHOW,TV-14,44,Steve Cheng,DIRECTOR,2019,1.0,8.8,6181.0
2369,ts224907,1.0,0.0,0.0,Backstreet Rookie,SHOW,TV-14,62,Lee Myung-woo,DIRECTOR,2020,1.0,7.4,2216.0
2370,ts161737,1.0,0.0,0.0,Dare Me,SHOW,TV-MA,43,Josephine Decker,DIRECTOR,2019,1.0,6.6,5254.0
2376,ts105047,1.0,0.0,0.0,To the Lake,SHOW,TV-MA,51,Dmitry Tyurin,DIRECTOR,2019,2.0,7.2,12713.0
2384,ts242820,1.0,0.0,0.0,Floor is Lava,SHOW,TV-Y7,31,Brian Smith,DIRECTOR,2020,2.0,5.3,2429.0
2387,ts82361,1.0,0.0,0.0,Ultraman,SHOW,TV-14,24,Kenji Kamiyama,DIRECTOR,2019,3.0,6.8,2089.0
2388,ts82361,1.0,0.0,0.0,Ultraman,SHOW,TV-14,24,Shinji Aramaki,DIRECTOR,2019,3.0,6.8,2089.0
2395,ts224859,1.0,0.0,0.0,The Pharmacist,SHOW,TV-MA,54,Jenner Furst,DIRECTOR,2020,1.0,7.7,7261.0
