,id,Netflix,Hulu,HBO,title,type,age_certification,runtime,name,role,release_year,seasons,imdb_score,imdb_votes
6607,tm126118,0.0,0.0,1.0,The Crying Game,MOVIE,R,112,Neil Jordan,DIRECTOR,1992,0.0,7.2,54973.0
6608,tm8446,0.0,0.0,1.0,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,MOVIE,PG,88,Michael Pressman,DIRECTOR,1991,0.0,6.0,55499.0
6609,tm192833,0.0,0.0,1.0,Mimic,MOVIE,R,105,Guillermo del Toro,DIRECTOR,1997,0.0,6.0,50258.0
6610,tm19016,0.0,0.0,1.0,Return to Me,MOVIE,PG,115,Bonnie Hunt,DIRECTOR,2000,0.0,6.9,21038.0
6611,tm124134,0.0,0.0,1.0,Man Bites Dog,MOVIE,NC-17,95,André Bonzel,DIRECTOR,1992,0.0,7.4,40505.0
6612,tm124134,0.0,0.0,1.0,Man Bites Dog,MOVIE,NC-17,95,Rémy Belvaux,DIRECTOR,1992,0.0,7.4,40505.0
6613,tm124134,0.0,0.0,1.0,Man Bites Dog,MOVIE,NC-17,95,Benoît Poelvoorde,DIRECTOR,1992,0.0,7.4,40505.0
6614,tm191016,0.0,0.0,1.0,Breakdown,MOVIE,R,90,Jonathan Mostow,DIRECTOR,1997,0.0,7.0,54172.0
6615,tm17817,0.0,0.0,1.0,Love & Basketball,MOVIE,PG-13,124,Gina Prince-Bythewood,DIRECTOR,2000,0.0,7.2,21130.0
6616,tm190312,0.0,0.0,1.0,Happy Together,MOVIE,PG-13,96,Sherman Wong,DIRECTOR,1997,0.0,7.6,16.0
6617,tm21177,0.0,0.0,1.0,Billy Elliot,MOVIE,PG-13,110,Stephen Daldry,DIRECTOR,2000,0.0,7.7,133530.0
6618,tm42412,0.0,0.0,1.0,Hard Rain,MOVIE,R,97,Mikael Salomon,DIRECTOR,1998,0.0,5.9,35149.0
6619,tm186297,0.0,0.0,1.0,Three Colors: Blue,MOVIE,R,98,Krzysztof Kieślowski,DIRECTOR,1993,0.0,7.9,99876.0
6620,tm11081,0.0,0.0,1.0,Outbreak,MOVIE,R,127,Wolfgang Petersen,DIRECTOR,1995,0.0,6.6,128040.0
6621,tm189740,0.0,0.0,1.0,The Relic,MOVIE,R,110,Peter Hyams,DIRECTOR,1997,0.0,5.8,27260.0
6622,tm192831,0.0,0.0,1.0,MouseHunt,MOVIE,PG,99,Gore Verbinski,DIRECTOR,1997,0.0,6.5,56155.0
