,id,Netflix,Hulu,HBO,title,type,age_certification,runtime,name,role,release_year,seasons,imdb_score,imdb_votes
0,tm84618,1.0,0.0,0.0,Taxi Driver,MOVIE,R,114,Martin Scorsese,DIRECTOR,1976,0.0,8.2,808582.0
1,tm154986,1.0,0.0,0.0,Deliverance,MOVIE,R,109,John Boorman,DIRECTOR,1972,0.0,7.7,107673.0
2,tm127384,1.0,0.0,0.0,Monty Python and the Holy Grail,MOVIE,PG,91,Terry Jones,DIRECTOR,1975,0.0,8.2,534486.0
3,tm127384,1.0,0.0,0.0,Monty Python and the Holy Grail,MOVIE,PG,91,Terry Gilliam,DIRECTOR,1975,0.0,8.2,534486.0
4,tm120801,1.0,0.0,0.0,The Dirty Dozen,MOVIE,,150,Robert Aldrich,DIRECTOR,1967,0.0,7.7,72662.0
5,tm70993,1.0,0.0,0.0,Life of Brian,MOVIE,R,94,Terry Jones,DIRECTOR,1979,0.0,8.0,395024.0
6,tm14873,1.0,0.0,0.0,Dirty Harry,MOVIE,R,102,Don Siegel,DIRECTOR,1971,0.0,7.7,155051.0
7,tm119281,1.0,0.0,0.0,Bonnie and Clyde,MOVIE,R,110,Arthur Penn,DIRECTOR,1967,0.0,7.7,112048.0
8,tm98978,1.0,0.0,0.0,The Blue Lagoon,MOVIE,R,104,Randal Kleiser,DIRECTOR,1980,0.0,5.8,69844.0
9,tm44204,1.0,0.0,0.0,The Guns of Navarone,MOVIE,,158,J. Lee Thompson,DIRECTOR,1961,0.0,7.5,50748.0
10,tm67378,1.0,0.0,0.0,The Professionals,MOVIE,PG-13,117,Richard Brooks,DIRECTOR,1966,0.0,7.3,16446.0
11,tm69997,1.0,0.0,0.0,Richard Pryor: Live in Concert,MOVIE,R,78,Jeff Margolis,DIRECTOR,1979,0.0,8.1,5141.0
12,tm16479,1.0,0.0,0.0,White Christmas,MOVIE,,115,Michael Curtiz,DIRECTOR,1954,0.0,7.5,42488.0
13,tm135083,1.0,0.0,0.0,Cairo Station,MOVIE,,77,Youssef Chahine,DIRECTOR,1958,0.0,7.5,4471.0
14,tm89386,1.0,0.0,0.0,Hitler: A Career,MOVIE,PG,150,Joachim Fest,DIRECTOR,1977,0.0,7.5,2460.0
15,tm156453,1.0,0.0,0.0,FTA,MOVIE,R,97,Francine Parker,DIRECTOR,1972,0.0,6.2,418.0
16,tm14350,1.0,0.0,0.0,Alexandria… Why?,MOVIE,,133,Youssef Chahine,DIRECTOR,1979,0.0,7.2,1727.0
17,tm81728,1.0,0.0,0.0,The Land,MOVIE,,129,Youssef Chahine,DIRECTOR,1969,0.0,8.1,1958.0
18,tm94651,1.0,0.0,0.0,Dostana,MOVIE,,161,Raj Khosla,DIRECTOR,1980,0.0,2.1,25.0
19,tm27298,1.0,0.0,0.0,Saladin the Victorious,MOVIE,,186,Youssef Chahine,DIRECTOR,1963,0.0,7.6,2508.0
20,tm100027,1.0,0.0,0.0,Alibaba Aur 40 Chor,MOVIE,,146,Umesh Mehra,DIRECTOR,1979,0.0,6.2,565.0
21,tm100027,1.0,0.0,0.0,Alibaba Aur 40 Chor,MOVIE,,146,Latif Faiziyev,DIRECTOR,1979,0.0,6.2,565.0
22,tm19608,1.0,0.0,0.0,The Blazing Sun,MOVIE,,100,Youssef Chahine,DIRECTOR,1954,0.0,7.4,1219.0
23,tm204541,1.0,0.0,0.0,Dark Waters,MOVIE,,120,Youssef Chahine,DIRECTOR,1956,0.0,6.7,610.0
24,tm259855,1.0,0.0,0.0,We Are All for the Fatherland,MOVIE,,74,Maroun Bagdadi,DIRECTOR,1979,0.0,6.1,47.0
25,tm356209,1.0,0.0,0.0,Singapore,MOVIE,,158,Shakti Samanta,DIRECTOR,1960,0.0,6.4,84.0
27,tm200475,1.0,0.0,0.0,"Beirut, Oh Beirut",MOVIE,,110,Maroun Bagdadi,DIRECTOR,1975,0.0,6.4,108.0
28,tm90896,1.0,0.0,0.0,The Return of the Prodigal Son,MOVIE,,124,Youssef Chahine,DIRECTOR,1976,0.0,7.2,780.0
29,tm336403,1.0,0.0,0.0,Khoon Khoon,MOVIE,,131,Mohammed Hussain,DIRECTOR,1973,0.0,5.1,41.0
30,tm107372,1.0,0.0,0.0,Manoranjan,MOVIE,,162,Suhail Tatari,DIRECTOR,1974,0.0,6.5,237.0
31,tm259684,1.0,0.0,0.0,Whispers,MOVIE,,93,Maroun Bagdadi,DIRECTOR,1980,0.0,7.8,78.0
32,tm403346,1.0,0.0,0.0,Chadi Jawani Budhe Nu,MOVIE,,135,A. Salaam,DIRECTOR,1976,0.0,4.6,14.0
33,tm16812,1.0,0.0,0.0,Bandie,MOVIE,,141,Alo Sarkar,DIRECTOR,1978,0.0,4.4,35.0
34,tm155787,1.0,0.0,0.0,GoodFellas,MOVIE,R,145,Martin Scorsese,DIRECTOR,1990,0.0,8.7,1131681.0
35,tm22327,1.0,0.0,0.0,Full Metal Jacket,MOVIE,R,117,Stanley Kubrick,DIRECTOR,1987,0.0,8.3,729274.0
36,tm180542,1.0,0.0,0.0,Once Upon a Time in America,MOVIE,R,139,Sergio Leone,DIRECTOR,1984,0.0,8.3,345714.0
37,tm138875,1.0,0.0,0.0,When Harry Met Sally...,MOVIE,R,96,Rob Reiner,DIRECTOR,1989,0.0,7.7,216199.0
38,tm2386,1.0,0.0,0.0,A Nightmare on Elm Street,MOVIE,R,91,Wes Craven,DIRECTOR,1984,0.0,7.4,234068.0
39,tm133087,1.0,0.0,0.0,Steel Magnolias,MOVIE,PG,119,Herbert Ross,DIRECTOR,1989,0.0,7.3,54946.0
40,tm177480,1.0,0.0,0.0,Police Academy,MOVIE,R,97,Hugh Wilson,DIRECTOR,1984,0.0,6.7,124881.0
41,tm54450,1.0,0.0,0.0,Christine,MOVIE,R,110,John Carpenter,DIRECTOR,1983,0.0,6.7,81922.0
42,tm145608,1.0,0.0,0.0,Awakenings,MOVIE,PG-13,120,Penny Marshall,DIRECTOR,1990,0.0,7.8,139240.0
43,tm147710,1.0,0.0,0.0,National Lampoon's Christmas Vacation,MOVIE,PG-13,97,Jeremiah S. Chechik,DIRECTOR,1989,0.0,7.5,185760.0
44,tm142895,1.0,0.0,0.0,Lean On Me,MOVIE,PG-13,105,John G. Avildsen,DIRECTOR,1989,0.0,7.4,20680.0
45,tm20712,1.0,0.0,0.0,Eddie Murphy Raw,MOVIE,R,90,Robert Townsend,DIRECTOR,1987,0.0,7.6,19757.0
46,tm117580,1.0,0.0,0.0,She's Gotta Have It,MOVIE,R,84,Spike Lee,DIRECTOR,1986,0.0,6.7,14472.0
47,tm130586,1.0,0.0,0.0,Endless Love,MOVIE,R,116,Franco Zeffirelli,DIRECTOR,1981,0.0,4.9,8524.0
48,tm721687,1.0,0.0,0.0,Vaashi,MOVIE,,123,Vishnu Raghav,DIRECTOR,1983,0.0,6.7,388.0
49,tm40103,1.0,0.0,0.0,Mobile Suit Gundam: Char's Counterattack,MOVIE,,119,Yoshiyuki Tomino,DIRECTOR,1988,0.0,7.3,1693.0
50,tm125985,1.0,0.0,0.0,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,,133,Yoshiyuki Tomino,DIRECTOR,1981,0.0,7.2,1274.0
52,tm21953,1.0,0.0,0.0,Sam Kinison: Breaking the Rules,MOVIE,R,50,Walter C. Miller,DIRECTOR,1987,0.0,7.2,660.0
53,tm126769,1.0,0.0,0.0,Waiting for the Hearse,MOVIE,,87,Alejandro Doria,DIRECTOR,1985,0.0,8.0,6399.0
54,tm152839,1.0,0.0,0.0,Tim Allen: Men Are Pigs,MOVIE,,30,Ellen Brown,DIRECTOR,1990,0.0,6.1,360.0
55,tm49037,1.0,0.0,0.0,Mobile Suit Gundam III: Encounters in Space,MOVIE,,144,Yoshiyuki Tomino,DIRECTOR,1982,0.0,7.6,1236.0
56,tm62924,1.0,0.0,0.0,Monty Python Live at the Hollywood Bowl,MOVIE,R,81,Terry Hughes,DIRECTOR,1982,0.0,7.9,15230.0
57,tm62924,1.0,0.0,0.0,Monty Python Live at the Hollywood Bowl,MOVIE,R,81,Ian MacNaughton,DIRECTOR,1982,0.0,7.9,15230.0
58,tm52815,1.0,0.0,0.0,Disco Dancer,MOVIE,,106,Babbar Subhash,DIRECTOR,1982,0.0,6.4,1476.0
59,tm159912,1.0,0.0,0.0,Agneepath,MOVIE,,174,Mukul Anand,DIRECTOR,1990,0.0,7.6,8947.0
60,tm133914,1.0,0.0,0.0,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,,72,Ian MacNaughton,DIRECTOR,1989,0.0,8.1,1522.0
61,tm38736,1.0,0.0,0.0,Too Young The Hero,MOVIE,,100,Buzz Kulik,DIRECTOR,1988,0.0,6.7,502.0
62,tm51083,1.0,0.0,0.0,A Stoning in Fulham County,MOVIE,,120,Larry Elikann,DIRECTOR,1988,0.0,5.9,387.0
63,tm137013,1.0,0.0,0.0,The Ryan White Story,MOVIE,,102,John Herzfeld,DIRECTOR,1989,0.0,7.2,863.0
64,tm157603,1.0,0.0,0.0,Dil,MOVIE,,172,Indra Kumar,DIRECTOR,1990,0.0,6.6,5316.0
65,tm258072,1.0,0.0,0.0,Adam: His Song Continues,MOVIE,,100,Robert Markowitz,DIRECTOR,1986,0.0,7.0,212.0
66,tm114356,1.0,0.0,0.0,The George McKenna Story,MOVIE,,100,Eric Laneuville,DIRECTOR,1988,0.0,6.0,921.0
67,tm157853,1.0,0.0,0.0,In Defense of a Married Man,MOVIE,,94,Joel Oliansky,DIRECTOR,1990,0.0,5.6,207.0
68,tm446654,1.0,0.0,0.0,Mujrim,MOVIE,,162,Umesh Mehra,DIRECTOR,1989,0.0,5.4,197.0
69,tm348735,1.0,0.0,0.0,Aakhri Adaalat,MOVIE,,148,Rajiv Mehra,DIRECTOR,1988,0.0,5.1,92.0
70,tm151332,1.0,0.0,0.0,"Alexandria, Again and Forever",MOVIE,,105,Youssef Chahine,DIRECTOR,1989,0.0,6.5,658.0
71,tm342996,1.0,0.0,0.0,Duniya,MOVIE,,170,Ramesh Talwar,DIRECTOR,1984,0.0,6.3,245.0
72,tm24110,1.0,0.0,0.0,Strange Voices,MOVIE,,100,Arthur Allan Seidelman,DIRECTOR,1987,0.0,6.3,360.0
73,tm371359,1.0,0.0,0.0,Jaal,MOVIE,,159,Umesh Mehra,DIRECTOR,1986,0.0,5.2,125.0
74,tm55091,1.0,0.0,0.0,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,,100,Roy Campanella II,DIRECTOR,1988,0.0,7.2,144.0
75,tm311264,1.0,0.0,0.0,Muqaddar Ka Faisla,MOVIE,,172,Prakash Mehra,DIRECTOR,1987,0.0,4.8,69.0
76,tm411457,1.0,0.0,0.0,Pyar Ke Do Pal,MOVIE,,125,Rajiv Mehra,DIRECTOR,1986,0.0,6.1,66.0
77,tm172482,1.0,0.0,0.0,Sohni Mahiwal,MOVIE,,160,Latif Faiziyev,DIRECTOR,1984,0.0,6.1,297.0
78,tm172482,1.0,0.0,0.0,Sohni Mahiwal,MOVIE,,160,Umesh Mehra,DIRECTOR,1984,0.0,6.1,297.0
79,tm419052,1.0,0.0,0.0,Ek Jaan Hain Hum,MOVIE,,151,Rajiv Mehra,DIRECTOR,1983,0.0,6.3,70.0
80,tm47673,1.0,0.0,0.0,An Egyptian Story,MOVIE,,129,Youssef Chahine,DIRECTOR,1982,0.0,7.3,1126.0
81,tm52274,1.0,0.0,0.0,The Little Wars,MOVIE,,108,Maroun Bagdadi,DIRECTOR,1982,0.0,6.3,152.0
82,tm147829,1.0,0.0,0.0,Unspeakable Acts,MOVIE,,100,Linda Otto,DIRECTOR,1990,0.0,6.1,464.0
83,tm107744,1.0,0.0,0.0,Mission: Impossible,MOVIE,PG-13,110,Brian De Palma,DIRECTOR,1996,0.0,7.1,420673.0
84,tm15897,1.0,0.0,0.0,Se7en,MOVIE,R,127,David Fincher,DIRECTOR,1995,0.0,8.6,1606270.0
85,tm191013,1.0,0.0,0.0,Boogie Nights,MOVIE,R,156,Paul Thomas Anderson,DIRECTOR,1997,0.0,7.9,261563.0
86,tm122434,1.0,0.0,0.0,Forrest Gump,MOVIE,PG-13,142,Robert Zemeckis,DIRECTOR,1994,0.0,8.8,2021343.0
87,tm25947,1.0,0.0,0.0,Snatch,MOVIE,R,103,Guy Ritchie,DIRECTOR,2000,0.0,8.3,841435.0
88,tm43808,1.0,0.0,0.0,The Talented Mr. Ripley,MOVIE,R,139,Anthony Minghella,DIRECTOR,1999,0.0,7.4,207524.0
89,tm191110,1.0,0.0,0.0,Titanic,MOVIE,PG-13,194,James Cameron,DIRECTOR,1997,0.0,7.9,1146825.0
90,tm192037,1.0,0.0,0.0,Starship Troopers,MOVIE,R,129,Paul Verhoeven,DIRECTOR,1997,0.0,7.3,291452.0
91,tm27395,1.0,0.0,0.0,Mission: Impossible II,MOVIE,PG-13,123,John Woo,DIRECTOR,2000,0.0,6.1,337987.0
92,tm113513,1.0,0.0,0.0,Dumb and Dumber,MOVIE,PG-13,107,Peter Farrelly,DIRECTOR,1994,0.0,7.3,379999.0
93,tm192405,1.0,0.0,0.0,Gattaca,MOVIE,PG-13,106,Andrew Niccol,DIRECTOR,1997,0.0,7.8,300701.0
94,tm116655,1.0,0.0,0.0,Léon: The Professional,MOVIE,R,111,Luc Besson,DIRECTOR,1994,0.0,8.5,1137357.0
95,tm116488,1.0,0.0,0.0,Natural Born Killers,MOVIE,R,118,Oliver Stone,DIRECTOR,1994,0.0,7.3,11.0
96,tm11556,1.0,0.0,0.0,The Quick and the Dead,MOVIE,R,107,Sam Raimi,DIRECTOR,1995,0.0,6.5,93767.0
97,tm56574,1.0,0.0,0.0,You've Got Mail,MOVIE,PG,119,Nora Ephron,DIRECTOR,1998,0.0,6.7,211635.0
98,tm53991,1.0,0.0,0.0,Big Daddy,MOVIE,PG-13,93,Dennis Dugan,DIRECTOR,1999,0.0,6.4,215053.0
99,tm49178,1.0,0.0,0.0,Vampires,MOVIE,R,104,John Carpenter,DIRECTOR,1998,0.0,6.1,58670.0
100,tm191989,1.0,0.0,0.0,Donnie Brasco,MOVIE,R,127,Mike Newell,DIRECTOR,1997,0.0,7.7,303868.0
103,tm121879,1.0,0.0,0.0,A River Runs Through It,MOVIE,PG,123,Robert Redford,DIRECTOR,1992,0.0,7.2,59854.0
104,tm44402,1.0,0.0,0.0,"Girl, Interrupted",MOVIE,R,127,James Mangold,DIRECTOR,1999,0.0,7.3,183154.0
105,tm187187,1.0,0.0,0.0,Last Action Hero,MOVIE,PG-13,131,John McTiernan,DIRECTOR,1993,0.0,6.4,150498.0
106,tm6859,1.0,0.0,0.0,My Girl,MOVIE,PG,103,Howard Zieff,DIRECTOR,1991,0.0,6.9,80590.0
107,tm118238,1.0,0.0,0.0,Wyatt Earp,MOVIE,PG-13,191,Lawrence Kasdan,DIRECTOR,1994,0.0,6.7,50774.0
108,tm111163,1.0,0.0,0.0,Eraser,MOVIE,R,115,Chuck Russell,DIRECTOR,1996,0.0,6.1,110921.0
109,tm190835,1.0,0.0,0.0,Neon Genesis Evangelion: The End of Evangelion,MOVIE,,87,Hideaki Anno,DIRECTOR,1997,0.0,8.0,53152.0
110,tm190835,1.0,0.0,0.0,Neon Genesis Evangelion: The End of Evangelion,MOVIE,,87,Kazuya Tsurumaki,DIRECTOR,1997,0.0,8.0,53152.0
111,tm192769,1.0,0.0,0.0,Vegas Vacation,MOVIE,PG,94,Stephen Kessler,DIRECTOR,1997,0.0,5.9,49377.0
112,tm187791,1.0,0.0,0.0,In the Line of Fire,MOVIE,R,128,Wolfgang Petersen,DIRECTOR,1993,0.0,7.2,102916.0
113,tm113576,1.0,0.0,0.0,Little Women,MOVIE,PG,115,Gillian Armstrong,DIRECTOR,1994,0.0,7.3,58178.0
114,tm65686,1.0,0.0,0.0,U.S. Marshals,MOVIE,PG-13,131,Stuart Baird,DIRECTOR,1998,0.0,6.5,105286.0
115,tm191387,1.0,0.0,0.0,Anaconda,MOVIE,PG-13,89,Luis Llosa,DIRECTOR,1997,0.0,4.8,104213.0
116,tm19494,1.0,0.0,0.0,The Replacements,MOVIE,PG-13,118,Howard Deutch,DIRECTOR,2000,0.0,6.6,64771.0
117,tm191772,1.0,0.0,0.0,Seven Years in Tibet,MOVIE,PG-13,136,Jean-Jacques Annaud,DIRECTOR,1997,0.0,7.1,142903.0
118,tm12499,1.0,0.0,0.0,The Net,MOVIE,PG-13,114,Irwin Winkler,DIRECTOR,1995,0.0,5.9,66667.0
119,tm186589,1.0,0.0,0.0,Cliffhanger,MOVIE,R,112,Renny Harlin,DIRECTOR,1993,0.0,6.5,128972.0
120,tm189764,1.0,0.0,0.0,Menace II Society,MOVIE,R,97,Albert Hughes,DIRECTOR,1993,0.0,7.5,58179.0
121,tm189764,1.0,0.0,0.0,Menace II Society,MOVIE,R,97,Allen Hughes,DIRECTOR,1993,0.0,7.5,58179.0
122,tm10739,1.0,0.0,0.0,Johnny Mnemonic,MOVIE,R,97,Robert Longo,DIRECTOR,1995,0.0,5.6,71563.0
123,tm1822,1.0,0.0,0.0,3 Ninjas Kick Back,MOVIE,PG,93,Charles T. Kanganis,DIRECTOR,1994,0.0,4.5,9321.0
124,tm55369,1.0,0.0,0.0,Edge of Seventeen,MOVIE,R,104,David Moreton,DIRECTOR,1998,0.0,6.8,6549.0
125,tm192431,1.0,0.0,0.0,The Devil's Own,MOVIE,R,107,Alan J. Pakula,DIRECTOR,1997,0.0,6.2,65323.0
126,tm192199,1.0,0.0,0.0,Spawn,MOVIE,PG-13,96,Mark A.Z. Dippé,DIRECTOR,1997,0.0,5.2,68184.0
127,tm56033,1.0,0.0,0.0,Croupier,MOVIE,R,94,Mike Hodges,DIRECTOR,1998,0.0,7.0,21599.0
128,tm117488,1.0,0.0,0.0,The Next Karate Kid,MOVIE,PG,107,Christopher Cain,DIRECTOR,1994,0.0,4.5,30422.0
129,tm190811,1.0,0.0,0.0,Geronimo: An American Legend,MOVIE,PG-13,115,Walter Hill,DIRECTOR,1993,0.0,6.5,11709.0
130,tm191431,1.0,0.0,0.0,Double Team,MOVIE,R,93,Tsui Hark,DIRECTOR,1997,0.0,4.8,34396.0
131,tm10811,1.0,0.0,0.0,Heavy,MOVIE,R,105,James Mangold,DIRECTOR,1995,0.0,6.8,5047.0
132,tm49839,1.0,0.0,0.0,The Players Club,MOVIE,R,104,Ice Cube,DIRECTOR,1998,0.0,5.9,6676.0
133,tm67635,1.0,0.0,0.0,Kuch Kuch Hota Hai,MOVIE,G,185,Karan Johar,DIRECTOR,1998,0.0,7.6,52036.0
134,tm320211,1.0,0.0,0.0,Children of God,MOVIE,,63,John Smithson,DIRECTOR,1994,0.0,6.3,612.0
135,tm7073,1.0,0.0,0.0,Knight Rider 2000,MOVIE,G,91,Alan J. Levi,DIRECTOR,1991,0.0,4.5,3207.0
137,tm117873,1.0,0.0,0.0,Hum Aapke Hain Koun..!,MOVIE,,206,Sooraj Barjatya,DIRECTOR,1994,0.0,7.5,21123.0
138,tm55100,1.0,0.0,0.0,Dil Se..,MOVIE,PG-13,163,Mani Ratnam,DIRECTOR,1998,0.0,7.5,28586.0
139,tm64817,1.0,0.0,0.0,Jerry Seinfeld: I'm Telling You for the Last Time,MOVIE,G,75,Marty Callner,DIRECTOR,1998,0.0,7.9,5879.0
140,tm188606,1.0,0.0,0.0,Sankofa,MOVIE,,124,Haile Gerima,DIRECTOR,1993,0.0,7.0,692.0
141,tm41525,1.0,0.0,0.0,Herod's Law,MOVIE,R,123,Luis Estrada,DIRECTOR,1999,0.0,7.8,6035.0
142,tm189171,1.0,0.0,0.0,Wild Tango,MOVIE,R,124,Marcelo Piñeyro,DIRECTOR,1993,0.0,6.7,1584.0
143,tm63514,1.0,0.0,0.0,The Last Days,MOVIE,PG-13,87,James Moll,DIRECTOR,1998,0.0,7.9,4378.0
144,tm188970,1.0,0.0,0.0,Bill Hicks: Revelations,MOVIE,,74,Chris Bould,DIRECTOR,1993,0.0,8.5,3098.0
145,tm12876,1.0,0.0,0.0,Bombay,MOVIE,,141,Mani Ratnam,DIRECTOR,1995,0.0,8.1,12629.0
146,tm62176,1.0,0.0,0.0,Mann,MOVIE,,174,Indra Kumar,DIRECTOR,1999,0.0,6.1,5451.0
147,tm52871,1.0,0.0,0.0,Soldier,MOVIE,,156,Abbas Alibhai Burmawalla,DIRECTOR,1998,0.0,6.2,3063.0
148,tm52871,1.0,0.0,0.0,Soldier,MOVIE,,156,Mastan Alibhai Burmawalla,DIRECTOR,1998,0.0,6.2,3063.0
149,tm104933,1.0,0.0,0.0,Sinbad: Son of a Preacher Man,MOVIE,,56,Chuck Vinson,DIRECTOR,1996,0.0,6.8,116.0
150,tm184326,1.0,0.0,0.0,Damini,MOVIE,,175,Rajkumar Santoshi,DIRECTOR,1993,0.0,7.8,3523.0
151,tm62385,1.0,0.0,0.0,Hum Saath Saath Hain,MOVIE,G,177,Sooraj Barjatya,DIRECTOR,1999,0.0,6.2,8552.0
152,tm110766,1.0,0.0,0.0,Chronicle of a Disappearance,MOVIE,,88,Elia Suleiman,DIRECTOR,1996,0.0,6.9,733.0
153,tm9898,1.0,0.0,0.0,Muthu,MOVIE,G,165,K. S. Ravikumar,DIRECTOR,1995,0.0,7.6,3056.0
154,tm47530,1.0,0.0,0.0,Jeans,MOVIE,,175,Shankar,DIRECTOR,1998,0.0,6.4,3604.0
155,tm57169,1.0,0.0,0.0,Monty Python: Live at Aspen,MOVIE,,58,Paul Miller,DIRECTOR,1998,0.0,7.8,1096.0
156,tm192301,1.0,0.0,0.0,Minsara Kanavu,MOVIE,G,145,Rajiv Menon,DIRECTOR,1997,0.0,6.7,1226.0
157,tm58893,1.0,0.0,0.0,Duplicate,MOVIE,PG,165,Mahesh Bhatt,DIRECTOR,1998,0.0,5.5,7618.0
158,tm110160,1.0,0.0,0.0,Avvai Shanmugi,MOVIE,PG-13,160,K. S. Ravikumar,DIRECTOR,1996,0.0,7.9,2586.0
159,tm118438,1.0,0.0,0.0,Anjaam,MOVIE,,137,Rahul Rawail,DIRECTOR,1994,0.0,6.6,6532.0
160,tm424630,1.0,0.0,0.0,A Triumph of the Heart: The Ricky Bell Story,MOVIE,,100,Richard Michaels,DIRECTOR,1991,0.0,7.2,250.0
161,tm27601,1.0,0.0,0.0,Phir Bhi Dil Hai Hindustani,MOVIE,PG-13,160,Aziz Mirza,DIRECTOR,2000,0.0,6.1,7610.0
162,tm203186,1.0,0.0,0.0,Children of Shatila,MOVIE,,50,Mai Masri,DIRECTOR,1999,0.0,8.1,78.0
163,tm7951,1.0,0.0,0.0,Tim Allen: Rewires America,MOVIE,PG,30,Ellen Brown,DIRECTOR,1991,0.0,6.0,198.0
164,tm52083,1.0,0.0,0.0,West Beirut,MOVIE,PG-13,105,Ziad Doueiri,DIRECTOR,1998,0.0,7.6,4221.0
165,tm340430,1.0,0.0,0.0,Govindha Govindha,MOVIE,,145,Ram Gopal Varma,DIRECTOR,1993,0.0,6.6,356.0
166,tm7032,1.0,0.0,0.0,Out of Life,MOVIE,,97,Maroun Bagdadi,DIRECTOR,1991,0.0,6.9,376.0
167,tm256669,1.0,0.0,0.0,Gumrah,MOVIE,,149,Mahesh Bhatt,DIRECTOR,1993,0.0,6.1,795.0
168,tm64729,1.0,0.0,0.0,Sinbad: Nothin' but the Funk,MOVIE,,56,Chuck Vinson,DIRECTOR,1998,0.0,6.3,65.0
169,tm184224,1.0,0.0,0.0,Sinbad: Afros and Bellbottoms,MOVIE,PG-13,60,Debbie Allen,DIRECTOR,1993,0.0,7.8,172.0
170,tm25389,1.0,0.0,0.0,Fiza,MOVIE,,170,Khalid Mohammed,DIRECTOR,2000,0.0,6.0,4213.0
171,tm34391,1.0,0.0,0.0,Before the Flying Circus,MOVIE,,55,Will Yapp,DIRECTOR,2000,0.0,7.3,168.0
172,tm44776,1.0,0.0,0.0,The Other,MOVIE,,106,Youssef Chahine,DIRECTOR,1999,0.0,5.9,997.0
173,tm334788,1.0,0.0,0.0,Yodha,MOVIE,,142,Rahul Rawail,DIRECTOR,1991,0.0,4.5,198.0
174,tm117840,1.0,0.0,0.0,The Emigrant,MOVIE,,129,Youssef Chahine,DIRECTOR,1994,0.0,6.5,1015.0
175,tm42397,1.0,0.0,0.0,Hello Brother,MOVIE,,131,Sohail Khan,DIRECTOR,1999,0.0,4.6,4262.0
176,tm314602,1.0,0.0,0.0,Dushmani,MOVIE,,156,Bunty Soorma,DIRECTOR,1995,0.0,5.0,249.0
177,tm7810,1.0,0.0,0.0,Nightmare in Columbia County,MOVIE,,100,Royer Young,DIRECTOR,1991,0.0,5.5,345.0
178,tm449775,1.0,0.0,0.0,Shikari,MOVIE,,162,Umesh Mehra,DIRECTOR,1991,0.0,5.8,68.0
179,tm449775,1.0,0.0,0.0,Shikari,MOVIE,,162,Latif Faizav,DIRECTOR,1991,0.0,5.8,68.0
180,tm74402,1.0,0.0,0.0,The Mist,MOVIE,R,126,Frank Darabont,DIRECTOR,2007,0.0,7.1,305346.0
181,tm91952,1.0,0.0,0.0,Mean Girls,MOVIE,PG-13,97,Mark Waters,DIRECTOR,2004,0.0,7.1,375975.0
182,tm111828,1.0,0.0,0.0,Catch Me If You Can,MOVIE,PG-13,141,Steven Spielberg,DIRECTOR,2002,0.0,8.1,952602.0
184,tm150112,1.0,0.0,0.0,Old School,MOVIE,R,88,Todd Phillips,DIRECTOR,2003,0.0,7.0,229171.0
185,tm80906,1.0,0.0,0.0,Anchorman: The Legend of Ron Burgundy,MOVIE,PG-13,95,Adam McKay,DIRECTOR,2004,0.0,7.1,353118.0
186,tm92641,1.0,0.0,0.0,Inception,MOVIE,PG-13,148,Christopher Nolan,DIRECTOR,2010,0.0,8.8,2294231.0
187,tm27911,1.0,0.0,0.0,The Departed,MOVIE,R,151,Martin Scorsese,DIRECTOR,2006,0.0,8.5,1296244.0
188,tm88465,1.0,0.0,0.0,Insidious,MOVIE,PG-13,103,James Wan,DIRECTOR,2010,0.0,6.8,303820.0
189,tm172683,1.0,0.0,0.0,War of the Worlds,MOVIE,PG-13,117,Steven Spielberg,DIRECTOR,2005,0.0,6.5,444229.0
191,tm42877,1.0,0.0,0.0,Wanted,MOVIE,R,110,Timur Bekmambetov,DIRECTOR,2008,0.0,6.7,384995.0
192,tm39030,1.0,0.0,0.0,Casino Royale,MOVIE,,144,Martin Campbell,DIRECTOR,2006,0.0,8.0,649676.0
193,tm89677,1.0,0.0,0.0,The Terminal,MOVIE,PG-13,128,Steven Spielberg,DIRECTOR,2004,0.0,7.4,441752.0
194,tm78592,1.0,0.0,0.0,Michael Clayton,MOVIE,R,114,Tony Gilroy,DIRECTOR,2007,0.0,7.2,165109.0
195,tm105329,1.0,0.0,0.0,Road to Perdition,MOVIE,R,117,Sam Mendes,DIRECTOR,2002,0.0,7.7,265216.0
196,tm139658,1.0,0.0,0.0,Big Fish,MOVIE,PG-13,125,Tim Burton,DIRECTOR,2003,0.0,8.0,437650.0
197,tm26327,1.0,0.0,0.0,The Hurt Locker,MOVIE,R,131,Kathryn Bigelow,DIRECTOR,2008,0.0,7.5,446904.0
198,tm95477,1.0,0.0,0.0,Troy,MOVIE,R,163,Wolfgang Petersen,DIRECTOR,2004,0.0,7.3,527447.0
199,tm154187,1.0,0.0,0.0,Sherlock Holmes,MOVIE,PG-13,129,Guy Ritchie,DIRECTOR,2009,0.0,7.6,625708.0
200,tm133767,1.0,0.0,0.0,Love Actually,MOVIE,R,135,Richard Curtis,DIRECTOR,2003,0.0,7.6,476101.0
201,tm45454,1.0,0.0,0.0,Get Smart,MOVIE,PG-13,110,Peter Segal,DIRECTOR,2008,0.0,6.5,216695.0
