,id,Netflix,Hulu,HBO,title,type,age_certification,runtime,genres,name,character,role,release_year,seasons,imdb_score,imdb_votes,production_countries
163,ts22164,1.0,0.0,0.0,Monty Python's Flying Circus,SHOW,TV-14,30,"['comedy', 'european']",Graham Chapman,Various,ACTOR,1969,4.0,8.8,73424.0,['GB']
164,ts22164,1.0,0.0,0.0,Monty Python's Flying Circus,SHOW,TV-14,30,"['comedy', 'european']",Michael Palin,"Various / ""It's"" man",ACTOR,1969,4.0,8.8,73424.0,['GB']
165,ts22164,1.0,0.0,0.0,Monty Python's Flying Circus,SHOW,TV-14,30,"['comedy', 'european']",Terry Jones,Various,ACTOR,1969,4.0,8.8,73424.0,['GB']
166,ts22164,1.0,0.0,0.0,Monty Python's Flying Circus,SHOW,TV-14,30,"['comedy', 'european']",Eric Idle,Various,ACTOR,1969,4.0,8.8,73424.0,['GB']
167,ts22164,1.0,0.0,0.0,Monty Python's Flying Circus,SHOW,TV-14,30,"['comedy', 'european']",Terry Gilliam,Various,ACTOR,1969,4.0,8.8,73424.0,['GB']
567,ts20681,1.0,0.0,0.0,Seinfeld,SHOW,TV-PG,24,['comedy'],Jerry Seinfeld,Jerry Seinfeld,ACTOR,1989,9.0,8.9,308824.0,['US']
568,ts20681,1.0,0.0,0.0,Seinfeld,SHOW,TV-PG,24,['comedy'],Jason Alexander,George Costanza,ACTOR,1989,9.0,8.9,308824.0,['US']
569,ts20681,1.0,0.0,0.0,Seinfeld,SHOW,TV-PG,24,['comedy'],Michael Richards,Cosmo Kramer,ACTOR,1989,9.0,8.9,308824.0,['US']
570,ts20681,1.0,0.0,0.0,Seinfeld,SHOW,TV-PG,24,['comedy'],Julia Louis-Dreyfus,Elaine Benes,ACTOR,1989,9.0,8.9,308824.0,['US']
1027,ts22082,1.0,0.0,0.0,Knight Rider,SHOW,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",David Hasselhoff,Michael Knight,ACTOR,1982,4.0,6.9,34115.0,['US']
1028,ts22082,1.0,0.0,0.0,Knight Rider,SHOW,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",Edward Mulhare,Devon Miles,ACTOR,1982,4.0,6.9,34115.0,['US']
1029,ts22082,1.0,0.0,0.0,Knight Rider,SHOW,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",William Daniels,K.I.T.T. (voice),ACTOR,1982,4.0,6.9,34115.0,['US']
1030,ts22082,1.0,0.0,0.0,Knight Rider,SHOW,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",Patricia McPherson,Bonnie Barstow,ACTOR,1982,4.0,6.9,34115.0,['US']
1031,ts22082,1.0,0.0,0.0,Knight Rider,SHOW,TV-PG,51,"['scifi', 'action', 'crime', 'drama']",Peter Parros,RC3,ACTOR,1982,4.0,6.9,34115.0,['US']
1033,ts20678,1.0,0.0,0.0,Saved by the Bell,SHOW,TV-G,23,"['family', 'comedy', 'romance']",Mark-Paul Gosselaar,Zack Morris,ACTOR,1989,5.0,7.1,35034.0,['US']
1034,ts20678,1.0,0.0,0.0,Saved by the Bell,SHOW,TV-G,23,"['family', 'comedy', 'romance']",Mario López,A.C. Slater,ACTOR,1989,5.0,7.1,35034.0,['US']
1035,ts20678,1.0,0.0,0.0,Saved by the Bell,SHOW,TV-G,23,"['family', 'comedy', 'romance']",Dustin Diamond,Samuel 'Screech' Powers,ACTOR,1989,5.0,7.1,35034.0,['US']
1036,ts20678,1.0,0.0,0.0,Saved by the Bell,SHOW,TV-G,23,"['family', 'comedy', 'romance']",Lark Voorhies,Lisa Turtle,ACTOR,1989,5.0,7.1,35034.0,['US']
1037,ts20678,1.0,0.0,0.0,Saved by the Bell,SHOW,TV-G,23,"['family', 'comedy', 'romance']",Dennis Haskins,Richard Belding,ACTOR,1989,5.0,7.1,35034.0,['US']
1664,ts20981,1.0,0.0,0.0,Survivor,SHOW,TV-PG,48,['reality'],Jeff Probst,Himself - Host,ACTOR,2000,42.0,7.4,24687.0,['US']
1720,ts22176,1.0,0.0,0.0,Stargate SG-1,SHOW,TV-PG,44,"['scifi', 'drama', 'action']",Ben Browder,Cameron Mitchell,ACTOR,1997,10.0,8.4,90196.0,"['CA', 'US']"
1721,ts22176,1.0,0.0,0.0,Stargate SG-1,SHOW,TV-PG,44,"['scifi', 'drama', 'action']",Amanda Tapping,Samantha Carter,ACTOR,1997,10.0,8.4,90196.0,"['CA', 'US']"
1722,ts22176,1.0,0.0,0.0,Stargate SG-1,SHOW,TV-PG,44,"['scifi', 'drama', 'action']",Christopher Judge,Teal'c,ACTOR,1997,10.0,8.4,90196.0,"['CA', 'US']"
1723,ts22176,1.0,0.0,0.0,Stargate SG-1,SHOW,TV-PG,44,"['scifi', 'drama', 'action']",Michael Shanks,Daniel Jackson,ACTOR,1997,10.0,8.4,90196.0,"['CA', 'US']"
1724,ts22176,1.0,0.0,0.0,Stargate SG-1,SHOW,TV-PG,44,"['scifi', 'drama', 'action']",Claudia Black,Vala Mal Doran,ACTOR,1997,10.0,8.4,90196.0,"['CA', 'US']"
1725,ts22176,1.0,0.0,0.0,Stargate SG-1,SHOW,TV-PG,44,"['scifi', 'drama', 'action']",Beau Bridges,Hank Landry,ACTOR,1997,10.0,8.4,90196.0,"['CA', 'US']"
2076,ts20339,1.0,0.0,0.0,One Piece,SHOW,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",Mayumi Tanaka,Monkey D. Luffy (voice),ACTOR,1999,21.0,8.8,117129.0,['JP']
2077,ts20339,1.0,0.0,0.0,One Piece,SHOW,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",Kazuya Nakai,Roronoa Zoro (voice),ACTOR,1999,21.0,8.8,117129.0,['JP']
2078,ts20339,1.0,0.0,0.0,One Piece,SHOW,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",Akemi Okamura,Nami (voice),ACTOR,1999,21.0,8.8,117129.0,['JP']
2079,ts20339,1.0,0.0,0.0,One Piece,SHOW,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",Kappei Yamaguchi,Usopp (voice),ACTOR,1999,21.0,8.8,117129.0,['JP']
2080,ts20339,1.0,0.0,0.0,One Piece,SHOW,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",Hiroaki Hirata,Vinsmoke Sanji (voice),ACTOR,1999,21.0,8.8,117129.0,['JP']
2081,ts20339,1.0,0.0,0.0,One Piece,SHOW,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",Yuriko Yamaguchi,Nico Robin (voice),ACTOR,1999,21.0,8.8,117129.0,['JP']
2082,ts20339,1.0,0.0,0.0,One Piece,SHOW,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",Ikue Otani,Tony Tony Chopper (voice),ACTOR,1999,21.0,8.8,117129.0,['JP']
2083,ts20339,1.0,0.0,0.0,One Piece,SHOW,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",Kazuki Yao,Franky (voice),ACTOR,1999,21.0,8.8,117129.0,['JP']
2084,ts20339,1.0,0.0,0.0,One Piece,SHOW,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",Cho,Brook (voice),ACTOR,1999,21.0,8.8,117129.0,['JP']
2085,ts20339,1.0,0.0,0.0,One Piece,SHOW,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",Katsuhisa Hôki,Jinbe (voice),ACTOR,1999,21.0,8.8,117129.0,['JP']
2086,ts20339,1.0,0.0,0.0,One Piece,SHOW,TV-14,23,"['animation', 'action', 'comedy', 'drama', 'fantasy']",Tesshou Genda,Kaido (voice),ACTOR,1999,21.0,8.8,117129.0,['JP']
2206,ts34435,1.0,0.0,0.0,Cowboy Bebop,SHOW,TV-14,25,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']",Koichi Yamadera,Spike Spiegel / Ein (voice),ACTOR,1998,1.0,8.9,115448.0,['JP']
2207,ts34435,1.0,0.0,0.0,Cowboy Bebop,SHOW,TV-14,25,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']",Unsho Ishizuka,Jet Black (voice),ACTOR,1998,1.0,8.9,115448.0,['JP']
2208,ts34435,1.0,0.0,0.0,Cowboy Bebop,SHOW,TV-14,25,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']",Megumi Hayashibara,Faye Valentine (voice),ACTOR,1998,1.0,8.9,115448.0,['JP']
2209,ts34435,1.0,0.0,0.0,Cowboy Bebop,SHOW,TV-14,25,"['animation', 'action', 'scifi', 'western', 'comedy', 'drama', 'thriller']",Aoi Tada,Edward Wong Hau Pepelu Tivruski IV (voice),ACTOR,1998,1.0,8.9,115448.0,['JP']
2392,ts20983,1.0,0.0,0.0,Neon Genesis Evangelion,SHOW,TV-14,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",Megumi Ogata,Shinji Ikari (voice),ACTOR,1995,1.0,8.5,66629.0,['JP']
2393,ts20983,1.0,0.0,0.0,Neon Genesis Evangelion,SHOW,TV-14,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",Kotono Mitsuishi,Misato Katsuragi (voice),ACTOR,1995,1.0,8.5,66629.0,['JP']
2394,ts20983,1.0,0.0,0.0,Neon Genesis Evangelion,SHOW,TV-14,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",Megumi Hayashibara,Rei Ayanami (voice),ACTOR,1995,1.0,8.5,66629.0,['JP']
2395,ts20983,1.0,0.0,0.0,Neon Genesis Evangelion,SHOW,TV-14,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",Yuko Miyamura,Asuka Langley Soryu (voice),ACTOR,1995,1.0,8.5,66629.0,['JP']
2396,ts20983,1.0,0.0,0.0,Neon Genesis Evangelion,SHOW,TV-14,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",Yuriko Yamaguchi,Dr. Ritsuko Akagi (voice),ACTOR,1995,1.0,8.5,66629.0,['JP']
2397,ts20983,1.0,0.0,0.0,Neon Genesis Evangelion,SHOW,TV-14,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",Fumihiko Tachiki,Gendo Ikari (voice),ACTOR,1995,1.0,8.5,66629.0,['JP']
2398,ts20983,1.0,0.0,0.0,Neon Genesis Evangelion,SHOW,TV-14,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",Motomu Kiyokawa,Kozo Fuyutsuki (voice),ACTOR,1995,1.0,8.5,66629.0,['JP']
2399,ts20983,1.0,0.0,0.0,Neon Genesis Evangelion,SHOW,TV-14,24,"['drama', 'scifi', 'animation', 'action', 'fantasy', 'thriller']",Miki Nagasawa,Maya Ibuki (voice),ACTOR,1995,1.0,8.5,66629.0,['JP']
2487,ts21567,1.0,0.0,0.0,Gilmore Girls,SHOW,TV-14,46,"['comedy', 'drama']",Lauren Graham,Lorelai Gilmore,ACTOR,2000,8.0,8.2,121462.0,['US']
2488,ts21567,1.0,0.0,0.0,Gilmore Girls,SHOW,TV-14,46,"['comedy', 'drama']",Alexis Bledel,Rory Gilmore,ACTOR,2000,8.0,8.2,121462.0,['US']
2489,ts21567,1.0,0.0,0.0,Gilmore Girls,SHOW,TV-14,46,"['comedy', 'drama']",Scott Patterson,Luke Danes,ACTOR,2000,8.0,8.2,121462.0,['US']
2490,ts21567,1.0,0.0,0.0,Gilmore Girls,SHOW,TV-14,46,"['comedy', 'drama']",Melissa McCarthy,Sookie St. James,ACTOR,2000,8.0,8.2,121462.0,['US']
2491,ts21567,1.0,0.0,0.0,Gilmore Girls,SHOW,TV-14,46,"['comedy', 'drama']",Keiko Agena,Lane Kim,ACTOR,2000,8.0,8.2,121462.0,['US']
2492,ts21567,1.0,0.0,0.0,Gilmore Girls,SHOW,TV-14,46,"['comedy', 'drama']",Yanic Truesdale,Michel Gerard,ACTOR,2000,8.0,8.2,121462.0,['US']
2493,ts21567,1.0,0.0,0.0,Gilmore Girls,SHOW,TV-14,46,"['comedy', 'drama']",Edward Herrmann,Richard Gilmore,ACTOR,2000,8.0,8.2,121462.0,['US']
2494,ts21567,1.0,0.0,0.0,Gilmore Girls,SHOW,TV-14,46,"['comedy', 'drama']",Kelly Bishop,Emily Gilmore,ACTOR,2000,8.0,8.2,121462.0,['US']
2699,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",Megumi Ogata,Yugi Mutou,ACTOR,1998,7.0,7.3,21113.0,['JP']
2700,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",Toshiyuki Morikawa,Katsuya Jonouchi,ACTOR,1998,7.0,7.3,21113.0,['JP']
2701,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",Hikaru Midorikawa,Seto Kaiba,ACTOR,1998,7.0,7.3,21113.0,['JP']
2702,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",Yumi Kakazu,Anzu Mazaki,ACTOR,1998,7.0,7.3,21113.0,['JP']
2703,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",Ryotaro Okiayu,Hiroto Honda,ACTOR,1998,7.0,7.3,21113.0,['JP']
2704,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",Tsutomu Kashiwakura,Ryo Bakura,ACTOR,1998,7.0,7.3,21113.0,['JP']
2705,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",Kaneto Shiozawa,Shadi,ACTOR,1998,7.0,7.3,21113.0,['JP']
2706,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",Katsue Miwa,Mokuba Kaiba,ACTOR,1998,7.0,7.3,21113.0,['JP']
2707,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",Yukana,Miho Nosaka,ACTOR,1998,7.0,7.3,21113.0,['JP']
2708,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",Takeshi Aono,Sugoroku Mutou,ACTOR,1998,7.0,7.3,21113.0,['JP']
2709,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",Michiko Neya,Shizuka Kawai,ACTOR,1998,7.0,7.3,21113.0,['JP']
2710,ts25252,1.0,0.0,0.0,Yu-Gi-Oh!,SHOW,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",Ryou Naitou,Ryuji Otogi,ACTOR,1998,7.0,7.3,21113.0,['JP']
2788,ts22489,1.0,0.0,0.0,Goosebumps,SHOW,TV-PG,22,"['scifi', 'thriller', 'family', 'fantasy', 'horror', 'music']",R.L. Stine,Host,ACTOR,1995,4.0,7.6,13493.0,"['US', 'CA']"
2789,ts21034,1.0,0.0,0.0,InuYasha,SHOW,TV-14,25,"['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama']",Kappei Yamaguchi,InuYasha (voice),ACTOR,2000,9.0,7.9,15823.0,['JP']
2790,ts21034,1.0,0.0,0.0,InuYasha,SHOW,TV-14,25,"['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama']",Satsuki Yukino,Kagome Higurashi (voice),ACTOR,2000,9.0,7.9,15823.0,['JP']
2791,ts21034,1.0,0.0,0.0,InuYasha,SHOW,TV-14,25,"['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama']",Yasunao Aoki,--,DIRECTOR,2000,9.0,7.9,15823.0,['JP']
2792,ts21034,1.0,0.0,0.0,InuYasha,SHOW,TV-14,25,"['scifi', 'action', 'fantasy', 'romance', 'animation', 'comedy', 'drama']",Masashi Ikeda,--,DIRECTOR,2000,9.0,7.9,15823.0,['JP']
3212,ts27693,1.0,0.0,0.0,Kenan & Kel,SHOW,TV-Y7,25,"['family', 'comedy']",Kenan Thompson,Kenan Rockmore,ACTOR,1996,4.0,7.8,15620.0,['US']
3213,ts27693,1.0,0.0,0.0,Kenan & Kel,SHOW,TV-Y7,25,"['family', 'comedy']",Kel Mitchell,Kel Kimble,ACTOR,1996,4.0,7.8,15620.0,['US']
3214,ts27693,1.0,0.0,0.0,Kenan & Kel,SHOW,TV-Y7,25,"['family', 'comedy']",Vanessa Baden,Kyra Rockmore,ACTOR,1996,4.0,7.8,15620.0,['US']
3215,ts27693,1.0,0.0,0.0,Kenan & Kel,SHOW,TV-Y7,25,"['family', 'comedy']",Ken Foree,Roger Rockmore,ACTOR,1996,4.0,7.8,15620.0,['US']
3216,ts27693,1.0,0.0,0.0,Kenan & Kel,SHOW,TV-Y7,25,"['family', 'comedy']",Teal Marchande,Sheryl Rockmore,ACTOR,1996,4.0,7.8,15620.0,['US']
3217,ts27693,1.0,0.0,0.0,Kenan & Kel,SHOW,TV-Y7,25,"['family', 'comedy']",Dan Frischman,"Christopher ""Chris"" Potter",ACTOR,1996,4.0,7.8,15620.0,['US']
4456,ts4,1.0,0.0,0.0,Breaking Bad,SHOW,TV-MA,48,"['drama', 'crime', 'thriller']",Bryan Cranston,Walter White,ACTOR,2008,5.0,9.5,1775990.0,['US']
4457,ts4,1.0,0.0,0.0,Breaking Bad,SHOW,TV-MA,48,"['drama', 'crime', 'thriller']",Aaron Paul,Jesse Pinkman,ACTOR,2008,5.0,9.5,1775990.0,['US']
4458,ts4,1.0,0.0,0.0,Breaking Bad,SHOW,TV-MA,48,"['drama', 'crime', 'thriller']",Anna Gunn,Skyler White,ACTOR,2008,5.0,9.5,1775990.0,['US']
4459,ts4,1.0,0.0,0.0,Breaking Bad,SHOW,TV-MA,48,"['drama', 'crime', 'thriller']",Dean Norris,Hank Schrader,ACTOR,2008,5.0,9.5,1775990.0,['US']
4460,ts4,1.0,0.0,0.0,Breaking Bad,SHOW,TV-MA,48,"['drama', 'crime', 'thriller']",Jonathan Banks,Mike Ehrmantraut,ACTOR,2008,5.0,9.5,1775990.0,['US']
4461,ts4,1.0,0.0,0.0,Breaking Bad,SHOW,TV-MA,48,"['drama', 'crime', 'thriller']",Bob Odenkirk,Saul Goodman,ACTOR,2008,5.0,9.5,1775990.0,['US']
4462,ts4,1.0,0.0,0.0,Breaking Bad,SHOW,TV-MA,48,"['drama', 'crime', 'thriller']",Betsy Brandt,Marie Schrader,ACTOR,2008,5.0,9.5,1775990.0,['US']
4463,ts4,1.0,0.0,0.0,Breaking Bad,SHOW,TV-MA,48,"['drama', 'crime', 'thriller']",RJ Mitte,Walter White Jr.,ACTOR,2008,5.0,9.5,1775990.0,['US']
4464,ts20371,1.0,0.0,0.0,Top Gear,SHOW,TV-PG,58,"['comedy', 'reality', 'european', 'music']",Chris Harris,Self - Host,ACTOR,2002,32.0,8.7,117240.0,['GB']
4465,ts20371,1.0,0.0,0.0,Top Gear,SHOW,TV-PG,58,"['comedy', 'reality', 'european', 'music']",Paddy McGuinness,Self - Host,ACTOR,2002,32.0,8.7,117240.0,['GB']
4466,ts20371,1.0,0.0,0.0,Top Gear,SHOW,TV-PG,58,"['comedy', 'reality', 'european', 'music']",Andrew Flintoff,Self - Host,ACTOR,2002,32.0,8.7,117240.0,['GB']
4467,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",Norman Reedus,Daryl Dixon,ACTOR,2010,11.0,8.2,956604.0,['US']
4468,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",Melissa McBride,Carol Peletier,ACTOR,2010,11.0,8.2,956604.0,['US']
4469,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",Lauren Cohan,Maggie Greene,ACTOR,2010,11.0,8.2,956604.0,['US']
4470,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",Christian Serratos,Rosita Espinosa,ACTOR,2010,11.0,8.2,956604.0,['US']
4471,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",Josh McDermitt,Eugene Porter,ACTOR,2010,11.0,8.2,956604.0,['US']
4472,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",Seth Gilliam,Gabriel Stokes,ACTOR,2010,11.0,8.2,956604.0,['US']
4473,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",Ross Marquand,Aaron,ACTOR,2010,11.0,8.2,956604.0,['US']
4474,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",Khary Payton,Ezekiel Sutton,ACTOR,2010,11.0,8.2,956604.0,['US']
4475,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",Cooper Andrews,Jerry,ACTOR,2010,11.0,8.2,956604.0,['US']
4476,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",Callan McAuliffe,Alden,ACTOR,2010,11.0,8.2,956604.0,['US']
4477,ts9,1.0,0.0,0.0,The Walking Dead,SHOW,TV-MA,46,"['action', 'drama', 'scifi', 'horror', 'thriller']",Jeffrey Dean Morgan,Negan Smith,ACTOR,2010,11.0,8.2,956604.0,['US']
4478,ts21465,1.0,0.0,0.0,Supernatural,SHOW,TV-14,45,"['scifi', 'horror', 'thriller', 'drama', 'fantasy']",Alexander Calvert,Jack Kline,ACTOR,2005,15.0,8.4,434081.0,['US']
4479,ts21465,1.0,0.0,0.0,Supernatural,SHOW,TV-14,45,"['scifi', 'horror', 'thriller', 'drama', 'fantasy']",Misha Collins,Castiel,ACTOR,2005,15.0,8.4,434081.0,['US']
4480,ts21465,1.0,0.0,0.0,Supernatural,SHOW,TV-14,45,"['scifi', 'horror', 'thriller', 'drama', 'fantasy']",Jared Padalecki,Sam Winchester,ACTOR,2005,15.0,8.4,434081.0,['US']
4481,ts21465,1.0,0.0,0.0,Supernatural,SHOW,TV-14,45,"['scifi', 'horror', 'thriller', 'drama', 'fantasy']",Jensen Ackles,Dean Winchester,ACTOR,2005,15.0,8.4,434081.0,['US']
4600,ts12724,1.0,0.0,0.0,30 Rock,SHOW,TV-14,25,"['comedy', 'sport']",Tina Fey,Liz Lemon,ACTOR,2006,7.0,8.3,122698.0,['US']
4601,ts12724,1.0,0.0,0.0,30 Rock,SHOW,TV-14,25,"['comedy', 'sport']",Alec Baldwin,Jack Donaghy,ACTOR,2006,7.0,8.3,122698.0,['US']
4602,ts12724,1.0,0.0,0.0,30 Rock,SHOW,TV-14,25,"['comedy', 'sport']",Tracy Morgan,Tracy Jordan,ACTOR,2006,7.0,8.3,122698.0,['US']
4603,ts12724,1.0,0.0,0.0,30 Rock,SHOW,TV-14,25,"['comedy', 'sport']",Jack McBrayer,Kenneth Parcell,ACTOR,2006,7.0,8.3,122698.0,['US']
4604,ts12724,1.0,0.0,0.0,30 Rock,SHOW,TV-14,25,"['comedy', 'sport']",Scott Adsit,Pete Hornberger,ACTOR,2006,7.0,8.3,122698.0,['US']
4605,ts12724,1.0,0.0,0.0,30 Rock,SHOW,TV-14,25,"['comedy', 'sport']",Judah Friedlander,Frank Rossitano,ACTOR,2006,7.0,8.3,122698.0,['US']
4606,ts12724,1.0,0.0,0.0,30 Rock,SHOW,TV-14,25,"['comedy', 'sport']",Jane Krakowski,Jenna Maroney,ACTOR,2006,7.0,8.3,122698.0,['US']
4607,ts12724,1.0,0.0,0.0,30 Rock,SHOW,TV-14,25,"['comedy', 'sport']",Keith Powell,"James ""Toofer"" Spurlock",ACTOR,2006,7.0,8.3,122698.0,['US']
4608,ts12724,1.0,0.0,0.0,30 Rock,SHOW,TV-14,25,"['comedy', 'sport']",Kevin Brown,Dot Com Slattery,ACTOR,2006,7.0,8.3,122698.0,['US']
4609,ts12724,1.0,0.0,0.0,30 Rock,SHOW,TV-14,25,"['comedy', 'sport']",Grizz Chapman,Grizz Griswold,ACTOR,2006,7.0,8.3,122698.0,['US']
4610,ts12724,1.0,0.0,0.0,30 Rock,SHOW,TV-14,25,"['comedy', 'sport']",Katrina Bowden,Cerie,ACTOR,2006,7.0,8.3,122698.0,['US']
4611,ts12724,1.0,0.0,0.0,30 Rock,SHOW,TV-14,25,"['comedy', 'sport']",John Lutz,J.D. Lutz,ACTOR,2006,7.0,8.3,122698.0,['US']
4612,ts12724,1.0,0.0,0.0,30 Rock,SHOW,TV-14,25,"['comedy', 'sport']",Maulik Pancholy,Jonathan,ACTOR,2006,7.0,8.3,122698.0,['US']
4613,ts6644,1.0,0.0,0.0,Borgen,SHOW,TV-MA,58,"['drama', 'european']",Sidse Babett Knudsen,Birgitte Nyborg,ACTOR,2010,4.0,8.5,25485.0,['DK']
4614,ts6644,1.0,0.0,0.0,Borgen,SHOW,TV-MA,58,"['drama', 'european']",Pilou Asbæk,Kasper Juul,ACTOR,2010,4.0,8.5,25485.0,['DK']
4615,ts6644,1.0,0.0,0.0,Borgen,SHOW,TV-MA,58,"['drama', 'european']",Birgitte Hjort Sørensen,Katrine Fønsmark,ACTOR,2010,4.0,8.5,25485.0,['DK']
4616,ts6644,1.0,0.0,0.0,Borgen,SHOW,TV-MA,58,"['drama', 'european']",Mikael Birkkjær,Philip Christensen,ACTOR,2010,4.0,8.5,25485.0,['DK']
4617,ts6644,1.0,0.0,0.0,Borgen,SHOW,TV-MA,58,"['drama', 'european']",Lars Knutzon,Bent Sejrø,ACTOR,2010,4.0,8.5,25485.0,['DK']
4618,ts6644,1.0,0.0,0.0,Borgen,SHOW,TV-MA,58,"['drama', 'european']",Søren Malling,Torben Friis,ACTOR,2010,4.0,8.5,25485.0,['DK']
4619,ts6644,1.0,0.0,0.0,Borgen,SHOW,TV-MA,58,"['drama', 'european']",Benedikte Hansen,Hanne Holm,ACTOR,2010,4.0,8.5,25485.0,['DK']
4620,ts6644,1.0,0.0,0.0,Borgen,SHOW,TV-MA,58,"['drama', 'european']",Lars Mikkelsen,Søren Ravn,ACTOR,2010,4.0,8.5,25485.0,['DK']
4621,ts6644,1.0,0.0,0.0,Borgen,SHOW,TV-MA,58,"['drama', 'european']",Emil Poulsen,Magnus Christensen,ACTOR,2010,4.0,8.5,25485.0,['DK']
4622,ts6644,1.0,0.0,0.0,Borgen,SHOW,TV-MA,58,"['drama', 'european']",Freja Riemann,Laura Christensen,ACTOR,2010,4.0,8.5,25485.0,['DK']
4623,ts6644,1.0,0.0,0.0,Borgen,SHOW,TV-MA,58,"['drama', 'european']",Thomas Levin,Ulrik Mørch,ACTOR,2010,4.0,8.5,25485.0,['DK']
