,id,title,type,age_certification,runtime,genres,release_year,seasons,imdb_score,imdb_votes,production_countries
58,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
59,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
60,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
61,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
62,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
63,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
64,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
65,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
66,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
67,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
68,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
69,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
70,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
71,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
72,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
73,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
74,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
75,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
76,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
77,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
78,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
79,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
80,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
81,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
82,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
83,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
84,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
85,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
86,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
87,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
88,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
89,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
90,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
91,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
92,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
93,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
94,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
95,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
96,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
97,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
98,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
99,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
100,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
101,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
102,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
103,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
104,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
105,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
106,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
107,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
108,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
109,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
110,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
111,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
112,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
113,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
114,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
115,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
116,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
117,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
118,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
119,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
120,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
121,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
122,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
123,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
124,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
125,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
126,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
127,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
128,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
129,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
130,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
131,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
132,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
133,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
134,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
135,tm83648,Citizen Kane,MOVIE,PG,119,['drama'],1941,0.0,8.3,433804.0,['US']
